Theme;E1;E1_Ans;E2;E2_Ans;M1;M1_Ans;M2;M2_Ans;H1;H1_Ans;H2;H2_Ans
Architecture;Comment s’appelle la célèbre cathédrale gothique située sur l’île de la Cité à Paris ?;Notre Dame De Paris;Quel monument est connu comme le symbole de Rome antique ?;Le Collisée;En quel année à débuté la construction de la Tour Eiffel;18 July 1887;Quel architecte a conçu la Sagrada Família à Barcelone ?;Antoni Gaudí;Quel architecte a conçu la villa Savoye, emblème du mouvement moderne ?;Le Corbusier et ou Pierre Jeanneret;Citer 1 des personnes ayant fait les premiers croquis de la Tour Eiffel;Émile Nouguier et Maurice Koechlin
Art;Picasso était peintre, sculpteur ou musicien ?;Peintre;Quel art utilise des notes ?;Musique;Quel artiste a peint Le Cri ?;Edvard Munch;Qui a peint “La Nuit étoilée” ?;Van Gogh;Qui a peint La Jeune Fille à la perle ?;Vermeer;Quel sculpteur a réalisé Le Penseur ?;Rodin
Astronomie;La plus grande planète de notre système solaire;Jupiter;Comments s'appelle le plus grand sattelitte de la terre;Lune;Quel est la planète la plus proche du Soleil ?;Mercure;Quelle agence a été la première à avoir envoyé l’homme sur la Lune ?;NASA;Quelle galaxie est la plus proche de la Voie Lactée ?;Andromède;Quel est le nom du 7? satellite de Saturne ?;Titan
Automobile;Ce train à grande vitesse français a battu un record mondial en 2007 en atteignant 574,8 km/h. Quel est son nom ?;Le TGV;Quel bateau célèbre, lancé en 1912 et considéré comme insubmersible, a coulé lors de son voyage inaugural ?;Le Titanic;Quel véhicule tout-terrain, créé à l’origine pour l’armée américaine en 1941, est devenu un symbole de robustesse et a donné son nom à une marque entière ?;La Jeep;Ce modèle lancé en 1938 est l’une des voitures les plus produites au monde et est reconnaissable à sa forme arrondie. Quel est ce véhicule ?;La Volkswagen Coccinelle;Quel modèle de moto légendaire, sorti en 1959 et reconnaissable à son moteur bicylindre parallèle, est considéré comme l’icône absolue de la marque Triumph ?;La Triumph Bonneville;Quel constructeur a produit la première voiture hybride moderne ?;Toyota
Biologie;Quel organe permet de respirer chez l’être humain ?;Les poumons;Quel liquide transporte l’oxygène dans le corps humain ?;Le Sang;Comment appelle-t-on les cellules reproductrices humaines ?;Les gamètes;Comment appelle-t-on l’unité de base du vivant ?;La cellule;Quel organe se trouve dans le bassin, en forme de haricot ?;Reins;Comment appelle-t-on une baisse du sodium sanguin ?;Hyponatrémie
Biologie;Quel est le nom de la molécule porteuse de l’information génétique ?;L’ADN;Quel organe pompe le sang ?;Le cœur;Quel organe produit l’insuline ?;Pancréas;Où se fabrique le globule rouge ?;Moelle osseuse;Comment nomme-t-on les globules blancs ?;Leucocytes;Comment nomme-t-on une infection nosocomiale ?;Infection acquise à l’hôpital
Biologie;Comment appelle-t-on un médecin des dents ?;Dentiste;Quel organe aide à respirer ?;Les poumons;Quel organe filtre les toxines ?;Foie;Quelle vitamine est produite par le soleil ?;Vitamine D;Quel organe produit la bile ?;Foie;Quel est l’organe le plus lourd du corps humain ?;Le foie
Cinéma;Quel film raconte l’histoire d’un paquebot qui sombre lors de sa traversée ?;Le Titanic;Actrice et productrice américaine née en 1967, à joué dans des films comme Ocean 11 et Pretty Women;Julia Roberts;Quel film de 1999 met en scène un monde virtuel contrôlé par des machines ?;Matrix;Film réaliser par Martin Scorsese dans lequel on y retrouve Leonardo Dicaprio, Mark Ruffalo et Ben Kingsley en acteurs principaux;Shutter Island;Qui à Cofonder le studio Studio Ghibli avec Isao Takahata et est connue grâce à son talent de conteur et ses films d'animation;Hayao Miyazaki ;Quel film de 1927 est le premier parlant ?;The Jazz Singer
Cinéma;Quel film d’animation met en scène des jouets qui prennent vie et le nom du studio d'animation qui la produit;Toy Story / pixar / disney;Quel comédien français est célèbre pour le film Le Gendarme de Saint-Tropez ?;Louis de Funès;Quel acteur américain est connu pour ses rôles dans The Mask et Ace Ventura ?;Jim Carrey;Quel acteur français né le 24 novembre 1952 a incarné Le Père Noël est une ordure au théâtre et au cinéma ?;Thierry Lhermitte;Qui a réalisé Citizen Kane ?;Orson Welles;Quel film d’animation japonais montre un esprit masqué ?;Spirited Away (Le Voyage de Chihiro)
Cinéma;Quel film raconte l’histoire d’un robot aimant les déchets ?;Wall-E;Qui joue Jack dans Titanic ?;Leonardo DiCaprio;Quel film a remporté l’Oscar 1998 (meilleur film) ?;Titanic;Quel est le Réalisateur de Kill Bill : Volume 1;Quentin Tarantino;Quel film présente Rick Deckard et des réplicants ?;Blade Runner;Quel film présente une horloge géante métaphorique de l’humanité ?;Metropolis
Cinéma 1950-2000;Quel film de 1975 réalisé par Steven Spielberg a terrorisé les baigneurs avec un grand requin blanc ?;Les Dents de la mer (Jaws);Dans quel film de 1994 Tom Hanks interprète-t-il un homme assis sur un banc racontant sa vie avec une boîte de chocolat ?;Forrest Gump;Quel Film d'Alfred Hitchcock sorti en 1954 se déroule entièrement dans l'appartemetn d'un photographe immobilisé ?;Fenêtre sur cour (Rear Window);"Quel réalisateur a remporté la Palme d'or en 1994 et a dirigé le film ""Pulp Fiction"" ?";Quentin Tarantino;Quel film de science-fiction de 1999 réalisé par David Cronenberg explore la réalité virtuelle via des consoles organiques ?;eXistenZ;Quel film de 1950 réalisé par Billy Wilder raconte la chute d'une ancienne star du cinéma muet, Norma Desmond ?;Boulevard du crépuscule ? (Sunset Boulevard)
Cuisine;Quel dessert français est réalisé à base de crème et caramélisée au chalumeau ?;Crème Brûlée;Quel sont les 3 ingrédients pour faire une beshamel ?;Farine, Lait, Beurre;De quelle plante vient le cacao ?;Cacaoyer;Citer les 5 saveurs;Acide, Amer, Salé, Sucré, Umami;Quelle sauce française émulsionnée est à la base de la sauce béarnaise ?;La sauce hollandaise;Quel chef espagnol est considéré comme un pionnier de la cuisine moléculaire ?;Ferran Adrià
Cuisine;Quelle sauce rouge accompagne souvent les frites ?;Ketchup;Quel plat contient du fromage fondu, accompagnée souvent de Charcuterie et de patate ?;Raclette;Quelle émission culinaire française met en compétition des amateurs ?;MasterChef;Quel plat japonais contient souvent du bouillon et des nouilles ?;Ramen;Chef connue vendant des Croissant XXL;Phillippe Conticini;Quel fruit contient le plus de vitamine C ?;Kiwi
Cuisine;Quel fruit est associé à Newton ?;Pomme;Quelle sauce est faite de basilic, ail et pignons ?;Pesto;Quel dessert Italien contient du mascarpone et du café ?;Tiramisu;Quel chef britannique est connu pour son franc-parler à la télévision ?;Gordon Ramsay;Quel dessert turc est composé de couches de pâte et de miel ?;Baklava;Quel plat français utilise du coq au vin rouge ?;Coq au vin
Culture général;Qui possède la compagnie Tesla ?;Elon Musk;Quelle est la capitale de Singapour ?;Singapour;En quelle ville sont nés les Jeux olympiques ?;Olympie;Einstein a reçu un prix Nobel dans quel domaine ?;Physique;Qu'est ce que la paréidolie;est le processus mental qui consiste, face à des stimuli visuels ou auditifs, à tendre à reconnaître une forme familière dans un paysage, un nuage, de la fumée, une tache d'encre, etc., une voix humaine dans un bruit, ou même des paroles — généralement dans sa propre langue;Quel métal précieux a pour symbole chimique Au ?;Or
Culture général;Qui est l’auteur de Harry Potter ?;J.K. Rowling;Qui a marché le premier sur la Lune ?;Neil Armstrong;Quelle planète est surnommée la planète rouge ?;Mars;Qui a écrit la pièce de théâtre Roméo et Juliette ?;William Shakespeare;Quel philosophe grec a été le précepteur d’Alexandre le Grand ?;Aristote;Quel révolutionnaire est souvent représenté avec un cigare ?;Che Guevara
Culture général;Qui était Cléopâtre ?;Reine d'Égypte;Quel chanteur est surnommé le Roi de la Pop ?;Michael Jackson;Quel océan est le plus vaste du globe ?;Océan Pacifique;Quel est la plus célèbre des équations d'Einstein ?;E=mc²;Qui est l’auteur de L’Odyssée ?;Homère;Qui a composé Le Sacre du Printemps ?;Stravinsky
Géographie/Pays;Quel est le plus grand désert chaud du monde ?;Sahara;Dans quel pays est la Tour Eiffel ?;France;Quel est le plus haut sommet d’Europe ?;Mont Blanc;Quel fleuve est un des plus longs du monde ?;Amazon (6992) comparé au Nil (6895);Quel est le plus grand archipel du monde ?;Indonésie;Comment s’appelle la mer entre la Grèce et la Turquie ?;Mer Égée
Géographie/Pays;Quel continent contient l'Égypte ?;Afrique;Quel pays a Rome comme capitale ?;Italie;Quel pays possède le plus de frontières terrestres ?;Chine;Quelle mer sépare l’Arabie de l’Afrique ?;Mer Rouge;Quel pays africain a la plus grande population ?;Nigeria;Citer les 2 drapeaux dans lequel on y retrouve du Rose;Mexique, Espagne
Géographie/Pays;Quel pays a Tokyo pour capitale ?;Japon;Quel drapeau a une feuille d’érable rouge ?;Canada;Dans quel continent se trouve le Chili ?;Amérique du Sud;Quel pays a pour capitale Wellington ?;Nouvelle-Zélande;Quel pays est enclavé entre l'Espagne et la France ?;Andorre;Dans quel océan est Madagascar ?;Océan Indien
Histoire;Qui a découvert l’Amérique pour les Européens ?;Christophe Colomb;Quel roi fut surnommé “Le Roi Soleil” ?;Louis XIV;En quelle année a eu lieu la prise de la Bastille, marquant le début de la Révolution française ?;1789;Quelle bataille met fin à l’Empire napoléonien ?;Waterloo;Qui a inventé l’imprimerie ?;Gutenberg;Quel traité, signé en 1919, a mis officiellement fin à la Première Guerre mondiale ?;Le traité de Versailles
Humouriste;"Quel humoriste français est célèbre pour son sketch sur ""Le Blond"" ?";Gad Elmaleh;"Quel duo comique a créé des sketchs cultes comme ""Les Chasseurs"" ou ""Le Télémagouille"" ?";Les Inconnus;Quelle humoriste française a créé le personnage de Catherine ?;Florence Floresti;"Quel humoriste a écrit et réalisé le film ""Bienvenue chez les Ch'tis"" ?";Dany Boon;Quel humoriste est le premier à avoir rempli le Stade de France pour un spectacle de stand-up ?;Jean-Marie Bigard;"En quelle année a été créé le célèbre club de comédie ""The Comedy Store"" à Londres, point de départ de la ""Alternative Comedy"" ?";1979
Jeunesse;Dans le film d'animation Dragon comment s'appelle le Dragon d'Harold ?;Croque mou;Comment s’appellent les petites créatures jaunes dans Moi, moche et méchant ?;Les minions;Dans Harry Potter, de quelle maison fait partie Hermione ?;Gryffondor;Dans La Reine des Neiges, quel pouvoir possède Elsa ?;La glace;Dans Le Roi Lion, comment s’appelle le père de Simba ?;Mufasa; Dans Pokémon, quel type est super efficace contre le type Eau ?;Plante
Jeunesse;De quelle couleur est Pikachu ?;Jaune;Quel réseau social utilise un fantôme comme logo ?;Snapchat;Quel jeu consiste à empiler des blocs sans les faire tomber ?;Jenga;Quelle plateforme est la plus connue pour ses vidéos en direct avec un logo au palette de couleurs violettes ?;Twitch;Comment s’appelle le jeu où l’on construit avec des briques en plastique;Lego;Dans Mario Kart, quel objet permet de devenir invincible temporairement ?;L'étoile
Jeux Vidéos;Dans quel jeu trouve-t-on les Pokémon ?;Pokémon;Quel jeu consiste à empiler des blocs qui tombent ?;Tetris;Comment s’appelle le royaume de Super Mario ?;Royaume Champignon;Quel studio indépendant a créé Hollow Knight ?;Team Cherry;Quel jeu de 1997 se déroule dans Midgar ?;Final Fantasy VII;Quel est le nom du créateur de Metal Gear ?;Hideo Kojima
Jeux Vidéos;Dans Pokémon, quel est le type du starter Salamèche ?;Feu;Quel jeu de danse utilise une caméra et des mouvements et est développés par Ubisoft ?;Just Dance;Quel jeu se déroule à Raccoon City ?;Resident Evil;Quel est le nom du héros de Halo ?;Master Chief;Dans Elden Ring, quel est le nom de la reine exilée ?;Marika;Dans The Witcher, quelle monnaie est utilisée ?;Les couronnes
Langue;Comment dit-on « bonjour » en espagnol ? ;Hola;Quelle figure de style consiste à exagérer une idée ?;L'hyperbole;Qu'est ce qu'un Okapi ?;Animal;Quelle figure de style associe des idées contradictoires ?;L'Oxymore;Quelle langue est la plus parlée en Afrique ?;Swahili;épeler Ornithorynque sans faire de faute;O.R.N.I.T.H.O.R.Y.N.Q.U.E
Litérature;Qui a écrit Les Misérables ?;Victor Hugo;Quel roman raconte un naufragé sur une île ?;Robinson Crusoé;Citer 2 genres littéraires;Roman, poésie, théâtre, essai, nouvelle, biographie, fantastique, science-fiction, policier;Qui est l’auteur de “Da Vinci Code” ?;Dan Brown;Quel écrivain a créé Cthulhu ?;H.P. Lovecraft;Auteur de “À la recherche du temps perdu” ?;Proust
Litérature;Quel livre contient Dracula ?;Dracula;Dans quel roman trouve-t-on Gatsby ?;Gatsby le Magnifique;Quel auteur a écrit Les Trois Mousquetaires ?;Alexandre Dumas;Quel auteur a écrit 1984 ?;George Orwell;Qui a écrit “Les Fleurs du mal” ?;Baudelaire;Qui a écrit Dune ?;Frank Herbert
Litérature;Dans quel livre trouve-t-on le Petit Prince ?;Le Petit Prince;Quel détective célèbre a une pipe ?;Sherlock Holmes;Citer 3 éléments physiques que l’on peut trouver dans un livre;couverture, pages, tranche, jaquette, résumé, chapitre, index;Donner 3 métiers liées à la création ou fabrication d'un livre;auteur, éditeur, illustrateur, imprimeur, correcteur, maquettiste, traducteur;Qui a écrit L’Étranger ?;Albert Camus;Quel auteur a écrit Bel-Ami ?;Maupassant
Mainstream;Plateforme de vidéos la plus connue avec un logo rouge?;YouTube;Qui est le créateur de la chaîne Cyprien ?;Cyprien;Quel streamer français a atteint 500k viewers sur GP Explorer ?;Squeezie;Quel YouTuber a créé le “Z Event” ?;ZeratoR;Quel vidéaste explique l’histoire en cartes ?;Nota Bene;Quel YouTuber américain fait des dons massifs (de plusieurs millions) ?;MrBeast
Marques;Quelle marque a pour logo une pomme ?;Apple;Quel fast-food utilise un grand M jaune ?;McDonald's;Quel constructeur fabrique le modèle Clio ?;Renault;"Quelle marque de vêtements est connue pour ""Just Do It"" ?";Nike;Quelle marque a pour slogan “Think Different” ?;Apple;Quel fabricant japonais produit les appareils Lumix ?;Panasonic
Marques;Quelle marque de boisson est rouge et blanche ?;Coca-Cola;Quelle marque a un crocodile comme logo ?;Lacoste;Quelle marque allemande a un logo avec quatre anneaux ?;Audi;Quelle marque de luxe est associée au monogramme LV ?;Louis Vuitton;"Quelle marque possède le parfum ""La Vie est Belle"" ?";Lancôme;À quel groupe appartient Peugeot ?;Stellantis
Mathématiques;Combien font 5 + 5 ?;10;Combien font 5 + 7 = ?;12;Qu'est qu'un triangle isocèle ?;Un triangle isocèle est un triangle ayant au moins deux côtés de même longueur;Combien font 12 × 4 = ?;48;Combien font (12 × 7) – 10 = ?;74;Comment s’appelle un polygone à 12 côtés ?;Dodécagone
Mathématiques;Combien font 9 × 2 = ?;18;Combien font 10 – 4 = ?;6;Que vaut C dans E = MC2 ?;3,00 × 10 8 m.s // 299 792 458 mètres par seconde. OU 1 079 252 848,8 km/h.;Combien font 45 ÷ 9 = ?;5;Combien font 144 ÷ 12 = ?;12;Combien font 17 × 14 = ?;238
Musique;Beethoven est associé à quel instrument ?;Piano;Quel est le prénom de Mozart ?;Wolfgang;D'où vien la J-POP;Japon;De quel pays viennent les Beatles ?;Royaume-Uni;En quelle ville Mozart est-il né ?;Salzbourg;Dans quelle ville Beethoven est-il mort ?;Vienne
Musique;Quel groupe a chanté “We Will Rock You” ?;Queen;Qui est la chanteuse de “Rolling in the Deep” ?;Adele;Quel instrument a 88 touches ?;Piano;Quel groupe a composé “Yellow Submarine” ?;Beatles;Quel groupe expérimental a créé “Kid A” ?;Radiohead;Quel style japonais consiste à chanter en voix aiguë ?;Enka
Musique;Qui chante « Thriller » ?;Michael Jackson;Quel style est associé à Mozart ?;Classique;Quel instrument est utilisé dans le jazz (cuivres) ?;Saxophone;Quel DJ français a créé “Titanium” ?;David Guetta;Citer 2 groupes/personnes ayant chanté Feeling Good ?;Avicii, Raye, Muse, Michael Bublé, The Pussicats dolls, Lauryn Hill;Quel instrument utilise un archet ?;Violon
Musique;Quel chanteur belge a chanté “Formidable” ?;Stromae;Quel style musical est lié au mouvement reggae ?;Reggae;Qui chante « Shape of You » ?;Ed Sheeran;Quel groupe a composé “Bohemian Rhapsody” ?;Queen;Quel groupe a sorti l’album “The Dark Side of the Moon” ?;Pink Floyd;Quel groupe a chanté “Smells Like Teen Spirit” ?;Nirvana
Musique;"Qui a chanté ""I put a spell on You"" ?";Nina Simon;Quel compositeur baroque a écrit “Les Quatre Saisons” ?;Vivaldi;"Qui chante ""Someone Like You"" ?";Adele;Quel tenor a chanté “Nessun Dorma” ?;Luciano Pavarotti;Quel compositeur a créé l’opéra Carmen ?;Bizet;Qui est l’auteur de “Take Five” ?;Dave Brubeck
Mythologie;Zeus est le dieu de quoi ?;Le ciel / la foudre;Qu'est ce qu'un Yokai;Créature, monstre ou esprit surnaturel du folklore japonais.;Reine des cieux, déesse de l'air, des constellations, du mariage, de la fidélité, des femmes, des familles, de l'accouchement, des rois et des empires et fille des Titans Cronos et Rhéa des constellations qui suis-je ?;Héra;Dans quelle mythologie apparaît Loki ?;mythologie nordique;Qui est le père d’Achille ?;Pélée;Est une figure marquante de la mythologie slave, figure féminine surnaturelle la plus fréquente des contes slaves qui suis-je ?;Baba Yaga
Parfum;Quel sens est utilisé pour apprécier un parfum ?;L'odorat;Comment appelle-t-on une personne qui crée des parfums ?;Un parfumeur; Quelle fleur est souvent utilisée comme note principale en parfumerie ?;La rose;uelle maison de luxe française a créé le parfum J’adore ?;Dior;Quelle matière première est issue de la résine d’un arbre et utilisée en parfumerie ?;L'encens;Quel parfumeur est à l’origine de Dior Sauvage ?;François Demachy
Pays;Quelle monnaie utilise la France ?;Euro;Quel pays possède le plus d’habitants au monde ?;Inde (Population 1, 438M) (Alors que la Chine 1, 422M);Quelle ville est surnommée la “perle du Sud” ?;Marrakech;Quel animal est emblématique de l’Australie ?;Kangourou;Quelle monnaire utilise la Chine ?;Yuan;Quel pays est le premier producteur mondial de cacao ?;Côte d’Ivoire
Pays;Quelle est la monnaie du Japon ?;Yen;Quel pays d'amérique a pour drapeau des étoiles et des bandes rouge et blanche ?;États-Unis;Quel animal figure sur de nombreuses pièces canadiennes ?;Castor;Quel fleuve traverse l’Égypte ?;Le Nil;Quel pharaon fut enterré dans la célèbre tombe KV62 ?;Toutankhamon;Combien la France compte-t-elle de régions (métropole + outre-mer) ?;18
Philosophie;Quel philosophe grec est célèbre pour la phrase « Je sais que je ne sais rien » ?;Socrate;Quel philosophe est associé au doute et au « Je pense donc je suis » ?;René Descartes;Quel courant philosophique affirme que l’existence précède l’essence ?;L’existentialisme;Quel philosophe a écrit « Ainsi parlait Zarathoustra » ?;Friedrich Nietzsche;Quel philosophe affirme que l’homme est « condamné à être libre » ?;Jean-Paul Sartre, philosophe français et figure majeure de l’existentialisme;Qui a écrit “Le Banquet” ?;Platon
Physique & Chimie;Quel est la composition de l'eau;H2O;Quel est l’état de la matière dans lequel les particules sont les plus rapprochées ?;L’état solide;Quel métal liquide à température ambiante était autrefois utilisé dans les thermomètres ?;Le mercure;Quelle unité mesure la fréquence d’une onde ?;Le hertz;Comment se nomme la force qui s’oppose au mouvement d’un objet et dépend de la nature des surfaces en contact ?;La force de frottement;Quel est le nom du principe selon lequel la quantité d’énergie d’un système isolé reste constante ?;Le principe de conservation de l’énergie
Répliques connues;“Je suis ton père.”;Star Wars;“Hasta la vista, baby.”;Terminator;“La vie, c'est comme une boîte de chocolats.”;Forrest Gump;“Houston, we have a problem.”;Apollo 13;“I’ll make him an offer he can’t refuse.”;Le Parrain;“In space, no one can hear you scream.”;Alien
Répliques connues;“Bond. James Bond.”;James Bond;“C’est pas faux.”;Kaamelott;“Pourquoi est-ce que je fais ça ? Parce que j’aime ça.”;Taxi;“Winter is coming.”;Game of Thrones;“Au revoir là-haut.”;Livre de Pierre Lemaitre;“Rosebud.”;Citizen Kane
Sports;Combien de joueurs y a-t-il dans une équipe de football sur le terrain ?;11;Dans quel sport évolue Lionel Messi ?;Football;Quel sport se joue avec une crosse et une rondelle ?;Hockey;Qui a gagné Roland-Garros plusieurs fois ?;Nadal;Quel sport est composé de sabre, épée ou fleuret ?;Escrime;Quelle discipline d’athlétisme combine 10 épreuves différentes ?;Le décathlon
Sports;Quel sport utilise une raquette ?;Tennis;Quel sport portant le même nom nécessite des skis ?;Ski;Quel sport, créé au Japon en 1882 par Jigor? Kan?, comprend des tatamis ?;Judo;Quelle star du basket jouait chez les Bulls ?;Michael Jordan;Quel sport comprend un “snatch” et un “clean & jerk” ?;Haltérophilie;Quel nageur a 23 médailles d’or olympiques ?;Michael Phelps
Théâtre;"Quel célèbre dramaturge français a écrit ""L'Avare"" et ""Le Malade imaginaire"" ?";Molière;Dans quelle pièce de Jean Racine retrouve-t-on le personnage de Phèdre ?;Phèdre;Quel dramaturge a écrit “Le Cid” ?;Corneille;Comment appelle-t-on une réplique très longue prononcée par un personnage seul ou devant d'autres ?;Une tirade;"Quelle pièce de Pierre Corneille a provoqué une célèbre ""querelle"" littéraire en 1637 ?";Le Cid;"Quel dramaturge irlandais est le chef de file du ""Théâtre de l'absurde"" avec ""En attendant Godot"" ?";Samuel Beckett
